estado;Descrip Estado;Regiones;Este/Oeste
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AL;Alabama;3;Este
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AZ;Arizona;4;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
AR;Arkansas;3;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
CA;California;4;Oeste
